d;userID;ISBN;bookRating
2582;135045;068971310X;8
19357;12538;034542705X;10
40923;42323;1576736202;9
31897;17876;1580080936;9
57399;93363;157673787X;9
22343;31468;051513225X;5
26163;58961;044166251X;8
37051;70052;000649840X;3
27004;20149;1551669374;4
44235;38273;188891419X;2
14241;102571;068486780X;5
16630;51883;1565970497;8
62155;114414;1562470760;5
51370;124078;081603849X;10
18959;32773;044809505X;9
40176;31838;031219322X;10
25418;29259;080411188X;8
1870;137588;014029628X;10
29843;85426;1580628362;8
58512;98391;074344230X;9
55360;117852;1559613874;9
47063;49201;1581690029;7
11247;60244;1401200893;8
49453;74846;2070416801;5
52143;98391;1551667274;10
17219;7125;038079487X;7
51215;62172;1579122280;5
62823;120598;1880226766;7
14083;88733;156402976X;9
26539;124078;031208188X;8
37151;146064;006097270X;5
36771;111228;1551669390;6
53572;97532;1573221406;6
65737;142253;039395904X;8
12932;114085;034537522X;10
43686;37208;037383344X;7
18270;93047;014044582X;8
53868;76286;1570624305;8
62204;114639;1568331487;10
66333;147400;1572302062;6
50941;60392;1569472807;7
7474;86555;006016848X;8
56689;89493;3492042384;8
66608;148929;1555972438;8
64992;135383;1582950105;10
54674;79366;034532014X;5
40810;113630;091825955X;8
44976;116448;039914868X;8
4459;106946;067976402X;6
17389;6242;1573228214;6
47462;50859;1564146472;7
43669;37113;093601511X;5
3287;113904;042516098X;7
36444;78553;067168972X;10
10576;131182;014028009X;10
59072;134705;1552450929;9
24180;8844;1557346763;9
10366;141902;1576737330;10
16963;113961;1563841134;7
16989;57291;067088300X;8
26487;104808;1841950955;2
60649;116758;038072765X;9
49414;55665;1551669250;7
17185;139742;1400060052;9
58742;98391;1579546986;10
22099;35859;042515405X;5
49878;56959;1565114388;10
57918;95359;1555911927;7
49130;55490;1852302364;7
52458;132392;1551665352;7
15623;33124;044661064X;8
9915;78564;1559029838;5
59432;98887;1899171681;2
22693;46909;039914840X;7
17590;78855;1573227331;8
50234;58855;1570426864;6
6830;6543;014025448X;8
58565;98391;082941441X;9
60861;107111;038530160X;10
25534;72296;051513452X;8
56037;87141;1565921879;8
10721;37950;155874262X;6
32810;126736;059049449X;6
14847;102647;048626968X;8
23072;8067;1575667266;10
24370;128060;074322423X;10
50225;58790;1555834248;9
18891;13164;069401110X;7
45866;43634;1564145026;9
20319;55438;1558746226;10
56539;96164;042516358X;9
27436;27540;1561797189;6
32516;19664;067173914X;8
11187;140255;038542017X;9
63115;123608;1558533389;7
66933;152435;006097382X;5
52570;69600;048628462X;4
64657;132836;1558702741;10
48120;52487;044004328X;5
59905;101851;087341442X;8
25210;55493;052594558X;6
58591;98391;1410401898;10
4593;277904;006019491X;7
53939;88978;055325572X;8
4639;124946;006019491X;7
65241;138018;037541293X;4
33352;107616;067942007X;8
40730;33030;155817169X;10
33110;92861;1569472041;10
58906;98391;1594141398;10
7571;8095;014034294X;8
57228;93047;1578151252;8
27463;30384;088730866X;5
58960;98391;1890208825;9
49114;55490;1567183743;8
4025;129074;051510566X;7
1937;135360;038550926X;7
29539;96448;006447335X;9
35582;25227;1413709672;10
21152;58142;067942573X;8
6067;105979;068484477X;10
10766;107288;155874262X;5
5974;23872;068484477X;8
62208;114688;1551664429;7
55492;83934;1573241644;8
58490;98391;051513421X;8
65239;137978;1891824333;10
60443;104636;1582460981;10
64314;129718;1565275950;5
20123;95492;039592720x;10
7163;111766;039592720X;10
62716;119556;1571743014;5
56402;138234;1929109083;10
23659;8380;038079439X;7
54411;78553;1567183824;10
45934;82893;034527444X;8
16457;104636;155874424X;9
720;85993;074320607X;10
13931;135799;038082101X;4
13297;91832;014131088X;5
6574;144822;006440630X;8
31872;83666;155166917X;5
58149;96711;188357708X;9
41889;102029;045121157X;9
58651;98391;155369015X;9
13223;43481;037570504X;5
63829;133747;087226209X;8
23347;38995;1400030382;10
29066;70371;1588720004;10
14188;8935;068483376X;10
63506;125583;1890208795;8
20936;100454;1573228737;10
47631;135045;1551669005;9
48952;55075;023398691X;7
29203;23699;1566193028;10
63027;123069;1580630855;10
58638;98391;1551669528;8
675;92918;034541389X;6
26729;130890;019505928X;10
5371;150611;044651652X;3
30982;113624;1551667002;5
56770;147513;074323846X;6
8406;20060;044021145X;9
54948;81339;068814988X;10
3794;136326;1400031346;8
22269;94473;1562927736;10
37373;100815;055357535X;6
36604;129465;042516991X;9
7016;278221;1589196635;10
26605;114368;073943053X;5
53689;75081;385630505X;10
47817;51883;051757506X;5
33862;30029;044023476X;7
45180;41378;1582431604;8
44228;38273;1884364292;5
53231;72778;1578151015;5
24623;130837;006097673X;8
33049;111924;1551660253;5
32157;25611;1582340986;7
51249;62464;1564781623;7
27843;13140;1588800296;6
5408;28091;034543479X;6
48910;54898;1888052023;8
51164;61901;1561707201;9
17453;34588;068480087X;9
33435;21014;1888173629;5
37744;98391;031298460X;8
58464;98391;044101089X;9
15048;125519;1558744630;10
45092;125203;2253140872;10
62215;114700;1889606030;4
39608;31315;1567997457;10
51040;61317;081120006X;10
6160;64649;140003180X;8
21442;62954;031205811X;9
58531;98391;076530001X;8
51695;75081;1573226114;10
19937;146803;067945960X;7
1648;146855;044023722X;7
8985;496;055356451X;8
64484;130847;1576731979;10
53512;97874;1585421170;10
3052;122867;1400034779;10
30298;111947;067173590X;9
62743;119749;006621436X;7
5344;126693;044651652X;10
63828;129716;087226209X;10
14210;99630;068483376X;10
881;124175;038081093X;8
44780;40466;1573220175;8
39132;71900;067173783X;5
5453;149924;034543479X;9
50103;58062;096580142X;8
8083;37950;038549081X;8
54148;76499;1565105214;10
65626;141157;1550651463;7
6793;149598;1551668300;7
63493;125519;1558591532;8
30819;114444;082340952X;7
47485;99996;1552781364;7
4044;5209;087542127X;9
54077;76499;014014739X;10
19802;146530;1573229628;7
6983;278221;1556611188;9
50156;58473;1566191378;10
65579;140069;1562802607;4
17117;76151;034544356X;10
51757;66055;059523559X;7
30272;18135;037541326X;8
1390;30487;044023722X;8
15402;2948;1580083412;10
35252;24694;014044176X;8
7371;278356;1853263214;9
55163;95903;044922161X;4
4498;126881;067976402X;7
23267;121988;1551665301;6
58123;96489;1401040977;8
53590;74453;1590580478;5
22860;8066;1592400825;8
21752;89529;074320395X;5
17597;103225;1573227331;7
47288;127359;1879237369;7
16471;18095;1558746099;10
11797;99832;068484267X;8
21051;6731;019283097X;7
8880;116122;051734582X;7
7453;39281;006016848X;8
59504;99312;1860340008;7
1747;87860;014023313X;9
50493;104399;1569714509;10
52238;98391;037379116X;9
31665;17003;1592400086;10
41477;35339;1556614594;4
20473;76930;034536676X;7
12392;638;1558747028;10
1459;54335;044023722X;8
54686;79441;039473243x;8
42419;66574;1880418568;8
26428;50204;1565846567;5
51221;119364;059010845X;8
13975;78617;080410882X;8
45667;102944;059033123X;7
24508;38023;1591821533;10
65129;136326;1556112750;8
18042;126736;034540761X;5
12550;104311;1573229571;9
53498;73822;1578566312;10
18020;57369;034540761X;8
7851;129716;034538475X;8
65216;137589;091563001X;10
54443;78777;9500703874;10
52408;69078;9500704447;8
20070;6543;006019295X;7
46943;48494;2894330197;10
38827;97198;155166920X;10
27225;64535;067187599X;6
32061;39241;1891620088;7
16056;22818;042515517X;7
49336;55493;052135871X;5
58977;98391;1891946161;8
48070;52199;1568440278;8
48948;55065;1562763113;8
46500;46892;078688021X;5
7856;140358;034538475X;5
43018;42694;074324642X;8
66526;148314;037541567X;10
5873;112598;044022103X;9
44805;118533;006251380X;3
18564;88571;042516876X;9
34771;23768;1570828768;8
44114;113519;1401300596;8
56675;98391;1575668203;8
17807;23768;055327886X;7
6346;28594;059035342X;9
9836;52199;1557236046;8
60637;105937;1556706804;9
16274;26801;1551668998;8
24497;9227;1591820057;7
61631;111578;1570829799;7
35889;25700;038528120X;10
47495;51224;1570612471;6
35671;98391;045121174X;10
61640;111731;1862044457;2
9278;71266;059048348X;9
50860;64440;087923556X;5
25605;47975;042506803X;6
4009;53265;051510566X;10
57958;141127;069401284X;10
19616;108336;1400045088;10
49949;56998;1862074577;9
13048;3331;067102535X;9
34597;23768;055337320X;10
43039;143415;1400031044;10
15144;16919;037540273X;8
8525;91103;044021145X;7
8448;38899;044021145X;7
59986;101851;1565044169;7
5037;152186;034540288X;8
64122;129074;1568520751;9
6320;16019;059035342X;9
25398;108563;042518269X;3
46728;47931;087905963X;10
61741;112083;1591823358;10
47973;52044;068985563X;8
30649;23872;051508901X;5
47886;77886;1858688930;10
61151;109081;1400050073;10
45395;120308;1569472785;5
43458;36836;1578400031;8
6920;127359;014025448X;9
45476;42718;1567997082;10
29303;149180;044024126X;8
17679;132139;1551668653;7
8577;120797;044021145X;9
37025;110824;1569472122;6
8090;54581;038549081X;8
16646;95991;1567312500;9
15661;138644;044661064X;6
18680;5451;1586480103;5
32034;142357;1558745432;5
38620;30072;1569319618;8
37870;28594;1563891875;8
32870;20115;1929180071;8
58166;96925;1853264733;8
45967;43910;1400061830;6
4129;3363;055323370X;10
66289;146530;1571200037;4
18461;101750;1558506462;10
8413;23353;044021145X;9
14973;75081;1567184855;10
7593;130554;014034294X;7
16522;33818;1558747060;7
34737;101851;1566869250;10
47924;51992;037541214X;10
52562;69389;1557830800;7
59982;101851;1565043103;7
21557;7158;067942525X;10
56964;92399;067960166X;10
25645;10819;1555838537;8
43165;36741;075152526X;5
2407;40943;043936213X;10
23623;71081;044022330X;8
11107;73330;037582345X;10
16530;104636;1558747060;9
41957;67515;067100171X;6
24841;69211;1558020837;9
58606;98391;1551666553;8
46430;46398;1566191696;6
33357;34570;074322454X;8
19456;36270;067973743X;9
58530;98391;076422817X;10
53470;73509;061810450x;7
43050;36609;1401396704;7
34930;23872;1556610793;7
44355;51883;037324178X;10
18476;49403;1558746986;8
65499;139436;1893224546;7
42544;97874;1571743235;6
18025;68555;034540761X;7
5681;35859;1558745017;9
51951;67627;1585020125;7
32739;20060;045120753X;8
56787;90616;1558537554;10
14126;64270;1573229326;7
35209;24624;1576736881;7
42939;117873;1573229547;6
22615;87712;055357115X;8
59041;98391;1932047913;5
3444;102647;044022165X;10
31801;17443;1568581505;8
13268;137589;037570504X;7
34899;23872;003001512X;9
51706;65377;1559945915;10
6073;110934;068484477X;8
22684;98391;1551668432;8
49100;55490;055357812X;8
25581;92810;1559721162;5
31236;16795;1586480375;6
6933;148662;014025448X;9
3294;124315;042516098X;7
23923;8681;1886941343;10
6425;77772;059035342X;9
28087;78783;006092991X;9
53021;70999;158788500X;8
19794;75591;1573229628;7
13622;1435;1569021074;5
42295;45403;1573221368;8
13823;31144;1551664348;9
33903;21684;037371128X;8
58843;98391;1592660118;10
58691;98391;1575667150;9
47621;98391;1551667304;8
32071;97063;042514173X;7
49020;55187;1564588750;10
7169;131951;039592720X;5
38996;51100;1853260231;7
41439;35185;1577942620;10
22252;70594;078688505X;7
61105;108638;1843040018;4
22995;133708;1551669412;7
5422;74595;034543479X;7
6805;66680;1551669293;4
19152;93047;044020352X;8
62458;145733;006019250X;10
16817;3467;042517476X;9
8477;55734;044021145X;10
51031;68599;1888952318;8
42611;36299;1580625258;7
63107;123597;1570715114;8
2470;114368;044011585X;10
44902;120829;158234082X;5
44934;82497;1551666936;8
18766;129851;006093316X;7
20397;91113;015100692X;8
7503;31391;006109398X;3
36887;26583;1580710077;9
34555;36299;038079005X;7
51467;64010;1558501371;7
45519;138525;067187750X;7
56347;87911;068983263X;5
17309;138844;038079487X;5
59909;101851;091621141X;8
33464;151479;038073267X;10
63756;135445;042514772X;5
29654;19549;1931391947;8
9776;142579;1551668270;7
18367;103304;044651862X;6
50056;57599;1864500891;9
60333;104113;1561382310;10
19045;69078;020162690X;8
6470;102702;059035342X;10
57573;94347;156512068X;9
56235;127171;1583220577;10
64275;149907;039457589X;8
61102;108583;1555612415;6
15301;41192;1400032717;10
62453;116137;096267950X;9
7076;94455;1878424319;2
20180;132050;1565120507;6
434;3427;074343627X;5
17012;95359;067088300X;8
64832;135127;1875284966;5
32550;110579;1878239910;7
33806;21576;002037500X;7
29285;124546;044023719X;7
60421;104604;1858286999;9
46755;47974;1557832277;10
42474;42798;1562474855;9
27985;60244;1573222038;8
26655;89634;006104444X;8
54727;79475;1574231057;10
35092;24191;1567408265;6
62668;118587;1878867814;5
13066;70014;067102535X;8
2018;38248;002542730X;10
42269;52002;1570428212;9
63365;128122;1551660105;10
25781;88937;039304632X;5
2781;35857;087605534X;9
20542;85442;038071843X;8
40533;64946;031286860X;9
30394;116005;1853260789;5
39396;31099;037376488X;6
18322;36606;044651862X;8
7337;151653;051513287X;9
54366;77980;055328570X;10
23951;8734;067102339X;8
27861;136326;1551668076;9
18127;92887;031242227X;6
31437;33388;1565843436;5
49873;56959;1561385263;10
31321;16876;082174321X;5
52741;143822;031226982X;7
11025;16795;051513290X;8
28866;52917;067169507X;5
61828;112765;096403008X;10
25383;25405;034540727X;5
31248;16795;1852839961;9
14540;100610;006109918X;10
60532;105221;068987183X;10
14671;9834;1591451124;9
17069;134797;1551668912;9
62421;115956;076070130X;10
178;55492;043935806X;9
46537;59395;044652218X;5
