;userID;ISBN;bookRating
20322;82831;1558746226;8
15153;8681;044900483X;7
31070;68465;1551668947;3
13252;114452;037570504X;7
30764;102359;067974388X;10
24343;95359;044021985X;9
5925;114414;051511779X;5
20270;81848;039915079X;7
6721;69697;1551661586;8
24971;98391;042519213X;9
1219;36606;1571740562;5
3587;60244;014038572X;6
18703;59269;1558748040;10
6859;34588;014025448X;10
22057;135045;034539092X;7
8975;126492;055329170X;7
48049;52199;084395048X;10
32173;18979;1551669587;4
47678;98391;1551669552;8
7496;148258;006016848X;7
3038;110934;1400034779;9
11870;49212;1573225789;8
35520;48046;044023512X;8
12820;101209;055321313X;8
2860;110934;1400031354;9
10779;125171;155874262X;7
28940;98391;1551668068;9
21659;51883;155166416X;10
4047;95932;087542127X;7
53640;131027;039471833X;10
16006;56554;037325024X;9
33248;52614;1551668769;5
18772;106007;015696158X;8
25030;135653;1576739627;10
33444;56447;1896860982;4
2828;53042;1400031354;10
18796;5582;087542791X;8
12463;33580;1563899388;7
52736;138198;043590972X;5
16393;113519;1558743316;7
40945;110973;067081458X;9
6661;144455;042510107X;10
2526;55493;067101417X;6
15383;115435;1583224890;8
12514;133935;038529929X;5
33988;85993;1880418592;10
9688;81597;1551664275;7
11055;17003;006000438X;6
1822;61427;014029628X;9
36892;145449;067943125X;8
6174;142121;140003180X;7
10637;38703;044023574X;7
12551;106225;1573229571;8
34303;51450;055380247X;9
8756;138578;044661095X;8
19843;88733;188712876X;9
12272;141710;193156146X;10
17143;28177;038533303X;7
41471;61028;1575665352;8
16000;25409;037325024X;7
1812;37712;014029628X;9
6115;140555;068484477X;10
24933;66680;1551668084;6
5154;87949;1558745157;10
9872;7346;1559029838;8
14946;112001;1565122062;10
16108;67840;060980619X;10
25161;152562;069811406X;10
2579;88733;068971310X;10
42943;55187;1576736423;7
20506;76499;034539044X;10
32722;86189;015668568X;10
48803;98391;1582342644;9
25790;35857;068484897X;5
1534;91634;044023722X;10
24970;35859;042519213X;9
33096;69078;031226772X;7
28734;133571;1550546163;7
23412;17282;037383599X;8
43143;145861;1400032016;6
6944;127359;068815090X;5
40532;48217;031286860X;10
18536;128122;037540256X;6
7125;30487;039592720X;8
18484;104058;1558746986;10
8149;13552;042513525X;8
11067;104113;006000438X;10
15806;4017;038072975X;8
41657;98391;1551669161;8
23485;98391;1551666588;8
15292;6251;1400032717;10
7969;46293;037329011X;8
27261;107784;084233226X;8
59714;128033;158574297X;4
19155;146348;044020352X;8
52617;102702;050552421X;10
29977;16488;076790284X;7
24035;70415;055356983X;10
8237;44728;042513699X;8
980;16488;042511774X;8
12392;638;1558747028;10
14666;69697;1551666685;8
28799;26544;038000917X;8
26982;104334;1551669188;7
24751;137688;1567187072;5
21321;87555;076791404X;8
44127;101851;1565922352;7
6167;95991;140003180X;9
30759;56959;067974388X;10
28535;43246;006053821X;7
16793;31315;039914613X;10
9706;123883;1551664496;5
46787;133747;014130636X;4
23353;64270;1400030382;8
54995;114368;067168289X;5
2840;70594;1400031354;10
15308;81368;1400032717;9
7344;115751;1577780728;10
11555;127129;006101351X;5
11846;10314;1573225789;8
14268;98484;038071907X;8
29668;102967;059043389X;9
9775;140662;1551668270;9
44751;152496;158542160X;8
15457;86189;006099486X;8
13460;15049;089480829X;8
6393;55492;059035342X;10
24521;9227;1931514925;7
2987;75149;1400034779;6
26136;27472;042512519X;7
3766;31391;1400031346;10
27820;67840;1551667010;10
16992;60244;067088300X;8
12062;52614;055356160X;8
28576;125692;060960225X;9
36774;115929;1551669390;9
24413;125519;1573227358;9
14536;60707;006109918X;7
22370;60244;068419337X;6
340;96440;044020562X;9
8051;114368;038076654X;5
21277;46909;037541388X;7
8026;93629;038000772X;8
20395;89507;015100692X;10
15090;125203;1558746161;9
15372;23571;1583224890;8
45605;78834;1565548353;10
34629;63956;067942895X;9
15621;30972;044661064X;5
44861;110483;1568650108;10
1161;104636;1558743669;9
9921;83287;1559029838;10
40401;135376;067187120X;9
15260;104636;140003065X;7
39486;56554;037325038X;9
2415;58911;043936213X;5
1234;29526;1573221856;8
36770;98391;1551669390;9
3673;71207;1558744150;8
1597;125519;044023722X;8
8170;48025;042513525X;8
9300;96448;059050214X;10
5889;135360;044022103X;8
4897;114368;051513628X;5
27827;88677;1551667010;5
35454;24933;050552113X;6
52894;111133;1559720646;9
16524;49403;1558747060;8
1772;125039;014023313X;8
3695;127200;1558744150;9
35172;37950;155874875X;2
3854;55490;034539657X;10
11925;142861;1573225789;6
13854;108005;1551665794;7
20300;95226;1558744592;10
23084;8067;1591840414;10
48248;132663;055327757X;10
17512;36609;1401300901;8
11796;98904;068484267X;10
16476;68555;1558746099;10
14161;121170;1573229326;7
48056;123883;084395048X;5
8501;72523;044021145X;7
39764;152186;185326041X;8
38482;148898;1556619340;10
12240;127782;015600710X;5
6570;125039;006440630X;6
4723;137589;038542471X;7
22454;105517;055321246X;10
13;77480;034545104X;8
27260;101876;084233226X;7
27297;93047;1401088945;3
7079;97754;1878424319;6
31537;43246;1550810510;9
3597;99955;014038572X;10
2297;23768;038548951X;8
11381;92810;067103619X;7
2964;54335;1400034779;8
25518;80810;051513449X;10
23538;76151;155166951X;10
31874;98391;155166917X;8
12589;135895;015216250X;8
29054;53174;1565123638;7
28207;104636;055328990X;7
7433;16634;006016848X;7
3065;133571;1400034779;8
15580;86965;1573225681;10
17646;149934;038079960X;8
8539;102967;044021145X;6
11699;81492;080213825X;5
42507;142524;1931514607;10
31864;114368;084394952X;5
9121;49314;055357230X;7
55123;87141;1565922220;9
6135;41455;076534128X;4
9514;18082;080410526X;9
15152;2891;044900483X;9
7285;76351;051513287X;10
6851;30493;014025448X;6
19473;8253;080411109X;9
10395;36749;1931561648;10
961;136348;037582233X;8
9375;114368;067164257X;5
3056;126196;1400034779;6
27808;127233;1887317155;7
11496;78448;006101351X;10
41325;52584;044990587X;7
29884;20201;1560763396;10
47373;77860;1576831027;6
2271;145449;031298328X;5
29203;23699;1566193028;10
6858;32773;014025448X;8
6150;23768;140003180X;7
8083;37950;038549081X;8
25539;133296;051513452X;10
1937;135360;038550926X;7
45957;113519;1573220426;10
25482;21576;037576092X;6
31863;102702;084394952X;10
2247;98723;031298328X;7
33154;124942;055357910X;9
25252;132083;1573222267;8
46436;46398;1571741038;8
17729;105979;1880656124;5
13945;8067;1551666189;10
54753;126814;1567188257;5
31630;93047;006057898X;6
33657;33580;1558749780;7
49975;60244;067972477X;10
15085;81298;1558746161;5
4900;123883;051513628X;5
8610;137589;044021145X;8
20626;124874;038572179X;8
28936;41455;1551668068;5
11302;69721;1563898586;10
25800;70594;1400047714;10
23679;8454;044041833X;9
11418;14521;006101351X;5
5334;119575;044651652X;5
39390;109574;1558749330;7
34450;127519;1551668866;5
21669;69697;1551667339;9
18854;5582;1580050158;10
6514;127200;059035342X;9
43884;104058;015601422X;8
11154;40889;038542017X;8
21964;59189;1551668440;8
57005;138578;1559724161;9
28541;125039;006053821X;7
17476;33862;006059537X;8
33039;100906;1573240397;8
9787;16795;155166884X;8
19514;60244;080411109X;9
5221;28634;044651652X;10
17657;40889;1551668653;5
25789;22625;068484897X;7
23379;116904;1400060737;7
16376;37950;1558743316;8
1966;128033;1551668726;8
28078;36836;006018311X;5
2009;16996;002542730X;8
15101;21576;1401301061;9
37769;52614;037383568X;10
5372;151503;044651652X;6
18781;94494;067973225X;6
9429;52614;067187098X;10
8644;68555;044021422X;5
20690;53392;052594527X;10
8912;95359;055321330X;10
1539;93179;044023722X;10
2193;135351;014100018X;7
43045;36609;1401300464;7
16366;7346;1558743316;7
55097;141902;1575662213;10
7646;123608;030712908X;7
9758;98391;1551668122;8
5222;29855;044651652X;9
11173;88006;038542017X;6
12555;121170;1573229571;9
8604;134797;044021145X;9
10830;105517;1558745718;8
2848;88793;1400031354;10
763;61854;067102423X;9
5597;735;044661162X;9
2970;60244;1400034779;9
23591;20060;042518109X;7
11529;101305;006101351X;7
4296;18311;067976402X;8
27814;26544;1551667010;8
2954;41781;1400034779;6
39881;44893;1551665972;7
2092;85526;006092988X;10
25258;10314;1573229350;8
8480;56856;044021145X;7
43169;140555;089577044X;6
35244;127200;1573240249;6
912;102275;074341232X;8
16194;138176;081296683X;5
17264;73044;038079487X;8
21991;51883;006091565X;10
31045;143427;1551668777;6
20889;10819;1573223425;6
48054;102702;084395048X;10
46017;104113;067978148X;7
45562;43006;044100928X;7
42034;104399;078601475X;10
39652;106007;044100069X;10
22707;117132;039914840X;10
52456;114368;1551665352;5
9552;61427;080410526X;8
30952;98391;1551666758;5
22797;74453;076790382X;7
12711;4385;1551660016;10
31341;16908;037322737X;2
17385;143415;1573226521;9
35477;69697;155166013X;8
24556;84627;1582341400;8
13107;117132;051513399X;8
16576;55493;1565121570;8
52619;123883;050552421X;5
48053;98391;084395048X;8
32914;46398;034536743X;7
8507;77860;044021145X;8
15696;104113;002026478X;5
24137;136491;1592400876;9
16993;60583;067088300X;6
3741;105979;034543739X;6
25009;143964;084232920X;8
37055;148258;000649840X;7
15229;37712;140003065X;9
8151;19085;042513525X;8
122;149069;038550120X;10
6954;4017;006093090X;10
27097;88733;044098761X;10
4389;76151;067976402X;1
9536;44252;080410526X;9
20141;67840;060980877X;10
44555;102702;074347628X;10
16370;16718;1558743316;8
31056;146386;1551668831;9
15066;4017;1558746161;10
2069;152562;002542730X;8
8585;125519;044021145X;10
46373;76151;055329315X;10
8694;25981;044023669X;5
51026;109461;1580050298;7
20757;53220;078688908X;9
53267;80810;1558743324;7
20390;69078;015100692X;7
24442;54335;051513595X;8
36233;26487;038549128X;5
58423;98391;037371016X;8
14965;127200;1566840287;9
3394;55892;044022165X;9
37787;49900;055358619X;7
11930;148744;1573225789;8
39696;104113;067173685X;9
55096;92652;1575662213;5
11912;118228;1573225789;10
40943;102359;067081458X;10
52546;81977;1892723018;7
30289;30276;067173590X;7
26322;124363;1551668246;8
15076;37950;1558746161;5
13871;128122;1551669404;10
16625;145826;1565122968;8
14467;81121;055329461X;7
20693;62464;052594527X;10
3589;69697;014038572X;10
5974;23872;068484477X;8
35461;146386;050552113X;10
12548;101606;1573229571;9
45216;143163;1400050588;10
30781;101606;068810312X;5
17136;106007;038081658X;9
32200;69697;050552354X;10
37051;70052;000649840X;3
14411;10447;080411935X;8
9499;3167;080410526X;6
16342;62272;1551669307;6
20431;129716;015640057X;10
1305;135149;039480029X;10
12823;107784;055321313X;9
6556;150968;059035342X;6
14154;110361;1573229326;5
49420;98391;1551669250;8
18814;67775;1551668289;7
1431;42597;044023722X;9
36692;81492;084394918X;8
15493;98391;042518045X;9
48465;52853;067980112X;8
18751;101851;1560760478;8
36735;115120;1551667223;7
12513;130950;038529929X;7
31459;98391;034546673X;9
16589;28177;1565122968;7
32502;19664;055323224X;8
1799;7346;014029628X;8
2792;277623;1400031354;8
33450;116428;1896860982;7
24765;21011;044990945X;7
4273;6575;067976402X;7
38588;112001;1573228184;8
5912;31315;051511779X;8
4479;118228;067976402X;10
13049;13552;067102535X;7
11389;122793;067103619X;9
16994;67840;067088300X;9
32036;148744;1558745432;9
14828;80810;044048474X;7
1269;13850;039480001X;10
23491;13273;1551669234;5
17282;98904;038079487X;8
25764;101305;087113795X;9
35421;143175;1570426449;5
7851;129716;034538475X;8
21068;70401;1551665557;10
23695;148258;1573221767;6
4435;99630;067976402X;2
4437;99955;067976402X;8
27969;129716;156584100X;8
15196;2891;074325547X;8
46352;46145;1561483176;10
1082;7887;1558743669;10
28243;61854;1551662914;6
5262;60050;044651652X;10
15553;54898;068485080X;10
22867;50204;1878424424;3
7581;60707;014034294X;5
17185;139742;1400060052;9
18656;88733;1892145057;10
25404;88187;044630798X;9
28800;30276;038000917X;6
5575;8454;1573220876;5
964;143415;037582233X;9
51591;85656;1584855193;9
30248;31315;1578591201;10
18776;71853;067973225X;3
6057;98263;068484477X;10
9400;37874;067172262X;10
9776;142579;1551668270;7
7075;93358;1878424319;6
22791;46534;076790382X;8
26076;95359;038072121X;7
37673;28523;080661711X;5
21996;83637;006091565X;8
29052;26487;1565123638;10
34963;23872;1573226122;7
43142;142524;1400032016;8
52346;76499;081120118X;5
52734;92547;043590972X;9
11732;6251;068484267X;8
27905;127200;067003200X;8
24296;82497;1551662779;9
30350;123883;1551668378;5
10230;23699;1853260053;7
27266;150124;084233226X;10
38165;37644;006440823X;8
22838;8066;1573229377;6
22022;60319;034529873X;6
23234;122793;055358264X;8
13954;99347;1551666189;10
14870;82407;1550548913;8
2820;37584;1400031354;8
25603;10819;042506803X;9
144;22625;043935806X;10
12795;38023;055321313X;10
1876;143497;014029628X;8
3729;16795;034543739X;8
18077;16795;031242227X;9
18421;148258;1550546007;8
52704;98391;1576737535;9
4787;38556;055328942X;5
1238;43910;1573221856;7
52729;69749;037571894X;9
116;140358;038550120X;5
23024;144531;1551669498;8
17788;123825;074322535X;7
3283;104665;042516098X;6
37770;65584;037383568X;8
33763;105517;1558742913;7
13183;134311;038531258X;9
36522;29905;1556613628;7
51629;115751;1576738191;9
6448;87141;059035342X;10
14771;88733;039914210X;8
22865;21404;1878424424;6
5751;66680;039914465X;5
3979;113270;067976397X;8
1956;24452;1551668726;10
18798;11629;087542791X;5
2001;277623;002542730X;5
7018;152186;1589196635;8
15295;16795;1400032717;10
13369;8245;006101253X;8
24540;152435;055314300X;5
5860;95359;044022103X;8
26978;55665;1551669188;6
9572;93047;080410526X;7
39548;101209;076111775X;9
3086;145449;1400034779;10
9131;82497;055357230X;8
18669;43246;014034991X;8
2846;88652;1400031354;10
26138;59172;042512519X;8
11332;66574;1573226882;6
3706;148744;1558744150;8
43019;50895;074324642X;7
14811;7346;044048474X;7
16928;62862;068487217X;6
22341;25981;051513225X;5
32119;47975;038081403X;4
15845;126395;1579542085;9
20265;55027;039915079X;7
5521;67627;1551669609;10
5480;85993;038533558X;10
10530;68555;014028009X;4
1284;104399;039480001X;10
749;31826;067102423X;10
12686;104144;038533334X;8
22545;146113;1582343047;5
50290;129084;044021288X;8
35071;130474;038531695X;10
6793;149598;1551668300;7
19161;56307;038073186X;8
